sentence,label,cleaned
"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",1,screen size big key pad light well enough camera quality excellent camera phone
There's really nothing bad I can say about this headset.,0,theres really nothing bad say headset
"i'm glad i found this product on amazon it is hard to find, it wasn't high priced.",1,im glad find product amazon hard find wasnt high price
Portable and it works.,1,portable work
"My colleague & I now get great reception.A little expensive, but performance is great.",1,colleague get great receptiona little expensive performance great
I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.,0,even fully charge go bed turn blue tooth wifi notice leave morning
I've also had problems with the phone reading the memory card in which I always turn it on and then off again.,0,ive also problems phone read memory card always turn
Not good when wearing a hat or sunglasses.,0,good wear hat sunglasses
Timely shipment and quality product.,1,timely shipment quality product
Nice solid keyboard.,1,nice solid keyboard
Very well made and fits my Surefire GX2 perfectly.,1,well make fit surefire gx perfectly
Horrible phone.,0,horrible phone
BT50 battery junk!.,0,bt battery junk
We would recommend these to others.,1,would recommend others
Cant get the software to work with my computer.,0,cant get software work computer
Disappointed!.,0,disappoint
poor voice clarity.,0,poor voice clarity
The battery works great!,1,battery work great
No buyers remorse on this one!.,0,buyers remorse one
Very disappointed in AccessoryOne.,0,disappoint accessoryone
I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.,0,find inexcusable probably return phone perhaps change carriers
"Looks great and is strong.""",1,look great strong
"I have had TMobile service for 2 or 3 years now, and I am pretty happy with it.",1,tmobile service years pretty happy
The update procedure is difficult and cumbersome.,0,update procedure difficult cumbersome
Disappointment.. I hate anything that goes in my ear.,0,disappointment hate anything go ear
Great software for Motorolas.,1,great software motorolas
The delivery was on time.,1,delivery time
Very easy to use.,1,easy use
"Uncomfortable In the Ear, Don't use with LG VX9900 (EnV).",0,uncomfortable ear dont use lg vx env
The volume switch rocketed out of the unit to a destination unknown.,0,volume switch rocket unit destination unknown
"It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.",1,hold charge long time reasonably comfortable longwearing condition quality sound tremendous
I'd like to return it.,0,id like return
The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.,1,keyboard really worthwhile usefulness sturdy enough dont expect problems
"Verizon's bills, however, are difficult to understand even though their pricing plans are simple.",0,verizons bill however difficult understand even though price plan simple
"After charging overnight, these batteries work great.",1,charge overnight batteries work great
You won't regret it!,1,wont regret
I love this phone!.,1,love phone
A Disappointment.,0,disappointment
Its not user friendly.,0,user friendly
Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,0,unfortunately ability actually know receive call rather important feature phone pitiful respect
"Then I exchanged for the same phone, even that had the same problem.",0,exchange phone even problem
This results in the phone being either stuck at max volume or mute.,0,result phone either stick max volume mute
This PDA rocks.,1,pda rock
"It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.",1,super charge use small hybrid palmtopcameracellphone excel roles
"I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!",1,would definitely recommend jabra btv look comfort clarity great price
I had Verizon 2 years ago and really liked their service.,1,verizon years ago really like service
Pretty piece of junk.,0,pretty piece junk
Plug was the wrong size.,0,plug wrong size
Works as described.,1,work describe
Save your money.... I've had this item for 11 months now.,0,save money ive item months
Bad Purchase.,0,bad purchase
WELL IM SATISFIED.,1,well im satisfy
"The bose noise cancelling is amazing, which is very important for a NYC commuter.",1,bose noise cancel amaze important nyc commuter
This battery is an excellent bargain!,1,battery excellent bargain
Defective crap.,0,defective crap
I would have given no star if I was able.,0,would give star able
I wear glasses and it fits fine with them.,1,wear glass fit fine
"The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing.",0,sound quality device unacceptableunless really quiet area almost hear nothing
I would not recommend this item to anyone.,0,would recommend item anyone
The holster that arrived did not match the photo in the ad.,0,holster arrive match photo ad
great...no problems at all!.,1,greatno problems
"As an earlier review noted, plug in this charger and nothing happens.",0,earlier review note plug charger nothing happen
This frog phone charm is adorable and very eye catching.,1,frog phone charm adorable eye catch
You never know if you pushed it hard enough or the right number of times for the function you want or not.,0,never know push hard enough right number time function want
The sound is clear and the people I talk to on it are amazed at the quality too.,1,sound clear people talk amaze quality
I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.,1,get aluminum case new palm vx work really wellit protect handheld perfectly far
"very good product, well made.",1,good product well make
Mobile Phone Tools are a must have.,1,mobile phone tool must
I am very impressed with the job that Motorola did on the sturdiness of this phone.,1,impress job motorola sturdiness phone
"I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source.",1,receive order well within ship timeframe everything good work order overall excite source
The phone is sturdy and waterproof.,1,phone sturdy waterproof
I am not impressed with this and i would not recommend this item to anyone.,0,impress would recommend item anyone
My only complaint is the standard sound volume is a little low even when turned up to 5(of 5),0,complaint standard sound volume little low even turn
Thanks again to Amazon for having the things I need for a good price!,1,thank amazon things need good price
I ended up sliding it on the edge of my pants or back pockets instead.,1,end slide edge pant back pocket instead
I had to go to a store and bought a new NOKIA phone which is working great.,1,go store buy new nokia phone work great
Works great!.,1,work great
REALLY UGLY.,0,really ugly
"horrible, had to switch 3 times.",0,horrible switch time
The noise shield is incrediable.,1,noise shield incrediable
No real improvement.,0,real improvement
Razr Battery - Good buy.,1,razr battery good buy
Keep up the good work Amazon!!,1,keep good work amazon
They refuse to refund or replace.,0,refuse refund replace
Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.,0,unfortunately easy accidentally activate gentletouch button accidentally touch phone face listen
So I basically threw my money out the window for nothing.,0,basically throw money window nothing
Great case and price!,1,great case price
All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.,0,take one drop inch kitchen counter crackedi impress laugh
"Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch.",1,bluetooth range good days ago leave phone trunk get call carry conversation without hitch
"Small, sleek, impressive looking, practical setup with ample storage in place.",1,small sleek impressive look practical setup ample storage place
The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.,1,eargels channel sound directly ear seem increase sound volume clarity
none of the new ones have ever quite worked properly.,0,none new ones ever quite work properly
I am glad I purchased it.,1,glad purchase
I've missed numerous calls because of this reason.,0,ive miss numerous call reason
"Perhaps my phone is defective, but people cannot hear me when I use this.",0,perhaps phone defective people cannot hear use
Don't buy this product.,0,dont buy product
"sucked, most of the stuff does not work with my phone.",0,suck stuff work phone
"No shifting, no bubbling, no peeling, not even a scratch, NOTHING!I couldn't be more happier with my new one for the Droid.",1,shift bubble peel even scratch nothingi couldnt happier new one droid
Worst software ever used.... If I could give this zero stars I would.,0,worst software ever use could give zero star would
Trying to make a call on these is an exercise in frustration.,0,try make call exercise frustration
The case is a flimsy piece of plastic and has no front or side protection whatsoever.,0,case flimsy piece plastic front side protection whatsoever
"I own a Jabra Earset and was very happy with it, but the sound quality, especially outgoing, on this is better.",1,jabra earset happy sound quality especially outgo better
"I love the camera, it's really pretty good quality.",1,love camera really pretty good quality
Thank you for such great service.,1,thank great service
Its a total package.,1,total package
"The seller is very understanding and patient, I would definitely buy from them again.",1,seller understand patient would definitely buy
I give Wirefly 1 star.I will contact Cingular/AT&T; and inform them of this practice.,0,give wirefly stari contact cingularatt inform practice
It's AGGRAVATING!,0,aggravate
Great product for the price!.,1,great product price
"I have purchased these for both family and friends, and all enjoy their clarity and ease of use",1,purchase family friends enjoy clarity ease use
Virgin Wireless rocks and so does this cheap little phone!,1,virgin wireless rock cheap little phone
"None of it works, just don't buy it.",0,none work dont buy
"Muddy, low quality sound, and the casing around the wire's insert was poorly super glued and slid off.",0,muddy low quality sound case around wire insert poorly super glue slide
Please dont waste your money.,0,please dont waste money
"All in all, I'm quite satisfied with this purchase.",1,im quite satisfy purchase
"If you are looking for a good quality Motorola Headset keep looking, this isn't it.",0,look good quality motorola headset keep look isnt
Yet Plantronincs continues to use the same flawed charger design.,0,yet plantronincs continue use flaw charger design
Disapointing Results.,0,disapointing result
Cumbersome design.,0,cumbersome design
"Great it was new packaged nice works good, no problems and it came in less time then I expected!!!!",1,great new package nice work good problems come less time expect
Great Product.,1,great product
It's A PIECE OF CRAP!,0,piece crap
"My experience was terrible..... This was my fourth bluetooth headset, and while it was much more comfortable than my last Jabra (which I HATED!!!",0,experience terrible fourth bluetooth headset much comfortable last jabra hat
This fixes all the problems.,1,fix problems
Worst ever.,0,worst ever
I am very happy,1,happy
"I've had no trouble accessing the Internet, downloading ringtones or performing any of the functions.",1,ive trouble access internet download ringtones perform function
"I can barely ever hear on it and am constantly saying ""what?""",0,barely ever hear constantly say
The battery life is highly unacceptable.,0,battery life highly unacceptable
That company is a joke.,0,company joke
It does everything the description said it would.,1,everything description say would
Due to this happening on every call I was forced to stop using this headset.,0,due happen every call force stop use headset
"It works great with a car charger, especially if you cannot plug in two adapters at the same time.",1,work great car charger especially cannot plug two adapters time
"Verizon tech support walked my through a few procedures, none of which worked and I ended up having to do a hard re-set, wiping out all my data.",0,verizon tech support walk procedures none work end hard reset wipe data
"Voice Quality, Signal Strength, Dropped Calls.",0,voice quality signal strength drop call
"It plays louder than any other speaker of this size; the price is so low that most would think the quality is lacking, however, it's not.",1,play louder speaker size price low would think quality lack however
Better than expected.,1,better expect
"It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.",0,feel poorly construct menus difficult navigate button recess difficult push
Battery is holding up well.,1,battery hold well
Also difficult to put on.I'd recommend avoiding this product.,0,also difficult put onid recommend avoid product
"I only used it two days, and it wasn't always easy to hear with.",0,use two days wasnt always easy hear
I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.,0,get car charger even week charger brokeni go plug start smoke
Sprint - terrible customer service.,0,sprint terrible customer service
Linked to my phone without effort.,1,link phone without effort
THey are so cool!,1,cool
Easy to use.,1,easy use
Better Than New.,1,better new
"What possesed me to get this junk, I have no idea...",0,possesed get junk idea
Piece of trash.,0,piece trash
A pretty good product.,1,pretty good product
This is a great phone!.,1,great phone
"For the price on Amazon, it is an excellent product, which I would highly recommend.",1,price amazon excellent product would highly recommend
Their Research and Development division obviously knows what they're doing.,1,research development division obviously know theyre
"The real killer is the volume, and of course it breaking.",0,real killer volume course break
Those phones are working just fine now.,1,phone work fine
I am more than happy with this product.,1,happy product
Poor Construction.,0,poor construction
This is infuriating.,0,infuriate
"Overall, I would recommend this phone over the new Walkman.",1,overall would recommend phone new walkman
Sprint charges for this service.,0,sprint charge service
"It is cheap, and it feel and look just as cheap.",0,cheap feel look cheap
It fits my ear well and is comfortable on.,1,fit ear well comfortable
It doesn't work in Europe or Asia.,0,doesnt work europe asia
clipping this to your belt will deffinitely make you feel like 50 cent's up-and-coming.,1,clip belt deffinitely make feel like cents upandcoming
I like design and look of Jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.,1,like design look jabra behing ear headsets pretty comfortible wear hours day without pain ear
I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.,1,amaze quick arrival two original lg cell phone batteries fraction price
the worst phone from samsung...crap..... this crappy Samsung E715.. is the worst i have ever seeen.,0,worst phone samsungcrap crappy samsung e worst ever seeen
the charger worked for about a week and then completely stopped charging my phone.,0,charger work week completely stop charge phone
Poor product.,0,poor product
However I needed some better instructions.,0,however need better instructions
You need two hands to operate the screen.This software interface is decade old and cannot compete with new software designs.,0,need two hand operate screenthis software interface decade old cannot compete new software design
Worked very well paired with a Treo 700w and as a Skype headset on my PC (using a USB Bluetooth transceiver).,1,work well pair treo w skype headset pc use usb bluetooth transceiver
"Steer clear of this product and go with the genuine Palm replacementr pens, which come in a three-pack.",0,steer clear product go genuine palm replacementr pen come threepack
DO NOT BUY DO NOT BUYIT SUCKS,0,buy buyit suck
This is a great product..... sure beats using your fingers!.,1,great product sure beat use finger
"Plus, I seriously do not believe it is worth its steep price point.",0,plus seriously believe worth steep price point
All the other cases I've tried normally fall apart after a few months but this one seems to be in for the long haul.,1,case ive try normally fall apart months one seem long haul
Very Dissapointing Performance.,0,dissapointing performance
Don't make the same mistake that I did and please don't buy this phone.,0,dont make mistake please dont buy phone
This phone might well be the worst I've ever had in any brand.,0,phone might well worst ive ever brand
Case was more or less an extra that I originally put on but later discarded because it scratched my ear.,0,case less extra originally put later discard scratch ear
I recommend iGo to anyone with different brand cell phones/mp3 players in the family.,1,recommend igo anyone different brand cell phonesmp players family
Don't bother - go to the store.,0,dont bother go store
"I posted more detailed comments under the grey or black phone, but i have the Fire Red and it's a great color!",1,post detail comment grey black phone fire red great color
I did not have any problem with this item and would order it again if needed.,1,problem item would order need
You get what you pay for I guess.,0,get pay guess
"Not only did the software do a great job of this, I could also make my own ringtones form my existing CDs without an internet connection.",1,software great job could also make ringtones form exist cds without internet connection
im surprised this is a good quality car charger and there's not much reviews about it.,1,im surprise good quality car charger theres much review
These are fabulous!,1,fabulous
"However, BT headsets are currently not good for real time games like first-person shooters since the audio delay messes me up.",0,however bt headsets currently good real time game like firstperson shooters since audio delay mess
I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent.,1,use bitpim free program find internetto transfer data phonethe price cable excellent
Disappointing accessory from a good manufacturer.,0,disappoint accessory good manufacturer
"Performed awful -- muffled, tinny incoming sound and severe echo for those on the other end of the call.",0,perform awful muffle tinny incoming sound severe echo end call
Very wind-resistant.,1,windresistant
"Obviously they have a terrible customer service, so you get what you pay for.",0,obviously terrible customer service get pay
"They do not last forever, but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried.",1,last forever overly expensive replaceeasy operate sound much better others try
"I contacted the company and they told me that, although the unit was still under warranty, if I couldn't produce my receipt I was out of luck.",0,contact company tell although unit still warranty couldnt produce receipt luck
Linksys should have some way to exchange a bad phone for a refurb unit or something!,0,linksys way exchange bad phone refurb unit something
Phone is sturdy as all nokia bar phones are.,1,phone sturdy nokia bar phone
Great phone.,1,great phone
"When I placed my treo into the case, not only was it NOT snug, but there was A LOT of extra room on the sides.",0,place treo case snug lot extra room side
I'm pleased.,1,im please
Battery is terrible.,0,battery terrible
I found the product to be easy to set up and use.,1,find product easy set use
The earpiece on this is too large or too heavy...it keeps falling out of my ear.,0,earpiece large heavyit keep fall ear
Utter crap.. Sound quality is TERRIBLE.,0,utter crap sound quality terrible
"The charger arrived within the promised timeframe, but it did not work.",0,charger arrive within promise timeframe work
"No ear loop needed, it's tiny and the sound is great.",1,ear loop need tiny sound great
"Finally, after three or four times the spring of the latch broke and I could not use it any longer on the visor.",0,finally three four time spring latch break could use longer visor
"The handsfree part works fine, but then the car tries to download the address book, and the Treo reboots.Overall, I still rate this device high.",1,handsfree part work fine car try download address book treo rebootsoverall still rate device high
Talk about USELESS customer service.,0,talk useless customer service
"It felt too light and ""tinny."".",0,felt light tinny
This does not fit the Palm Tungsten E2 and it broke the first time I tried to plug it in.,0,fit palm tungsten e break first time try plug
I'm happy about this purchase- good quality and low price.,1,im happy purchase good quality low price
I love the look and feel of Samsung flipphones.,1,love look feel samsung flipphones
Its well-designed and very sharp -- the blue is a very nice color.,1,welldesigned sharp blue nice color
Does everything it should and more.,1,everything
I could not recommend these more.,0,could recommend
Nice Sound.,1,nice sound
"Looks good in the picture, but this case was a huge disappointment!!",0,look good picture case huge disappointment
Much less than the jawbone I was going to replace it with.,1,much less jawbone go replace
Setup went very smoothly.,1,setup go smoothly
its extremely slow and takes forever to do anything with it.,0,extremely slow take forever anything
"A must study for anyone interested in the ""worst sins"" of industrial design.",0,must study anyone interest worst sin industrial design
The first thing that happened was that the tracking was off.,0,first thing happen track
"It is well made, easy to access the phone and has a handy, detachable belt clip.",1,well make easy access phone handy detachable belt clip
Then I had to continue pairing it periodically since it somehow kept dropping.,0,continue pair periodically since somehow keep drop
Can't upload ringtones from a third party.,0,cant upload ringtones third party
"Bluetooth does not work, phone locks up, screens just flash up and now it just makes calls randomly while in my pocket locked.",0,bluetooth work phone lock screen flash make call randomly pocket lock
Truly awful.,0,truly awful
"It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.",1,work fine motorola cellphone lot better wornout battery
The volume for the ringer is REAL good (you have choices how loud).,1,volume ringer real good choices loud
And none of the tones is acceptable.,0,none tone acceptable
camera color balance is AWFUL.,0,camera color balance awful
"This product is clearly not ready for prime time, I don't care how cool it looks, if you can't tell a call is coming in it's worthless.",0,product clearly ready prime time dont care cool look cant tell call come worthless
I love the ringtones because they are so upbeat!,1,love ringtones upbeat
Chinese Forgeries Abound!.,0,chinese forgeries abound
Easy to pair with my Samsung Cell.,1,easy pair samsung cell
The instructions didn't explain that a microphone jack could be used.,0,instructions didnt explain microphone jack could use
i would advise to not purchase this item it never worked very well.,0,would advise purchase item never work well
Too bad you have to pay up to $$$ a month for the service!,0,bad pay month service
Works well.,1,work well
The nokia CA-42 USB cable did not work with my phone.,0,nokia ca usb cable work phone
Clear crisp sound.,1,clear crisp sound
"I have to use the smallest earpieces provided, but it stays on pretty well.",1,use smallest earpieces provide stay pretty well
"The biggest complaint I have is, the battery drains superfast.",0,biggest complaint battery drain superfast
The design might be ergonomic in theory but I could not stand having these in my ear.,0,design might ergonomic theory could stand ear
Do NOT buy if you want to use the holster.,0,buy want use holster
The phone can also take great pictures and even video clips.,1,phone also take great picture even video clip
It doesn't make you look cool.,0,doesnt make look cool
"Because both ears are occupied, background is not distracting at all.",1,ears occupy background distract
"Comfortable fit - you need your headset to be comfortable for at least an hour at a time, if not for an entire day.",1,comfortable fit need headset comfortable least hour time entire day
"Also, the phone doesn't seem to accept anything except CBR mp3s, preferably ripped by Windows Media Player.",0,also phone doesnt seem accept anything except cbr mps preferably rip windows media player
You can't beat the price on these.,1,cant beat price
"* Comes with a strong light that you can use to light up your camera shots, and even flash SOS signals (seriously!",1,come strong light use light camera shots even flash sos signal seriously
lightweight and works well.,1,lightweight work well
So just beware.,0,beware
I love this cable - it allows me to connect any mini-USB device to my PC.,1,love cable allow connect miniusb device pc
So anyone near you will hear part of your conversation.,0,anyone near hear part conversation
This is cool because most cases are just open there allowing the screen to get all scratched up.,1,cool case open allow screen get scratch
I bought this phone as a replacement for my StarTac and have regretted it since.,0,buy phone replacement startac regret since
Appears to actually outperform the original battery from China that came with my V325i.,1,appear actually outperform original battery china come vi
Can't store anything but phone numbers to SIM.,0,cant store anything phone number sim
"It lasts less than 3o minutes, if I actually try to use the phone.My wife has the same phone with the same problem.",0,last less minutes actually try use phonemy wife phone problem
Poor quality.,0,poor quality
"jabra ear gels ""R"" the best!.",1,jabra ear gel r best
Not worth it.,0,worth
The phone crashed completely and now I have to get it replaced.,0,phone crash completely get replace
"It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned.",1,quit work id use months purchase another one best headset ive ever own
"Unfortunately it will not recharge my iPhone 4s, despite connecting it from multiple power sources (iMac, external battery, wall outlet, etc).",0,unfortunately recharge iphone despite connect multiple power source imac external battery wall outlet etc
It was a great phone.,1,great phone
if you simply want a small flip phone -- look elsewhere as the extra bells & whistles are mediocre.,0,simply want small flip phone look elsewhere extra bell whistle mediocre
"Good value, works fine - power via USB, car, or wall outlet.",1,good value work fine power via usb car wall outlet
My phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand.,1,phone doesnt slide around car grip prevent phone slip hand
This is simply the BEST bluetooth headset for sound quality!,1,simply best bluetooth headset sound quality
Think it over when you plan to own this one!This sure is the last MOTO phone for me!,0,think plan onethis sure last moto phone
"In the span of an hour, I had two people exclaim ""Whoa - is that the new phone on TV?!?",1,span hour two people exclaim whoa new phone tv
I have always used corded headsets and the freedom from the wireless is very helpful.,1,always use cord headsets freedom wireless helpful
"This case has passed the one year mark and while it shows signs of wear, it is 100% functional.",1,case pass one year mark show sign wear functional
"Other than that, the leather is nice and soft; the fit is very tight; the cut out for the face is a good shape.",1,leather nice soft fit tight cut face good shape
It has everything I need and I couldn't ask for more.,1,everything need couldnt ask
After receiving and using the product for just 2 days it broke.,0,receive use product days break
This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.,1,product great make work lot easier go copier wait hold something
None of the three sizes they sent with the headset would stay in my ears.,0,none three size send headset would stay ears
T-Mobile has the best customer service anywhere.,1,tmobile best customer service anywhere
Arrived quickly and much less expensive than others being sold.,1,arrive quickly much less expensive others sell
We have tried 2 units and they both failed within 2 months.. Pros,0,try units fail within months pros
"Provides good protection and looks classy, too.",1,provide good protection look classy
Krussel Always good.,1,krussel always good
"The tracfonewebsite is user friendly and makes it easy toactivate, etc.",1,tracfonewebsite user friendly make easy toactivate etc
The design is very good.4.,1,design good
I great reception all the time.,1,great reception time
I would highly recommend this product.,1,would highly recommend product
"Couldn't use the unit with sunglasses, not good in Texas!",0,couldnt use unit sunglasses good texas
It dit not work most of the time with my Nokia 5320.,0,dit work time nokia
"Bought mainly for the charger, which broke soon after purchasing.",0,buy mainly charger break soon purchase
"If you like a loud buzzing to override all your conversations, then this phone is for you!",0,like loud buzz override conversations phone
Fantastic buy and will get again for whatever my next phone is,1,fantastic buy get whatever next phone
"stay away from this store, be careful.",0,stay away store careful
This BlueAnt Supertooth hands-free phone speaker is AWESOME.,1,blueant supertooth handsfree phone speaker awesome
Does not fit.,0,fit
.... Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.,1,item arrive quickly work great metro pcs samsung schr slider phone sony premium sound ear plug
"It is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time.",1,light plenty battery capacity confortable wear somewhat extend periods time
disappointing.,0,disappoint
Blue Ant is easy to use.,1,blue ant easy use
Cheap but hey it works.. Was pleasantly suprised given the low cost of this item.,1,cheap hey work pleasantly suprised give low cost item
The camera on the phone may be used as a dustpan when indoors... I'd rather be using a disposable then this.,0,camera phone may use dustpan indoors id rather use disposable
Then a few days later the a puff of smoke came out of the phone while in use.,0,days later puff smoke come phone use
It's very convenient and simple to use - gets job done & makes the car ride so much smoother.,1,convenient simple use get job do make car ride much smoother
The nano stated it.My son was dissapointed.,0,nano state itmy son dissapointed
The sound quality is excellent as well.,1,sound quality excellent well
Its the best headset I have used.,1,best headset use
Would not reccommend.,0,would reccommend
They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.,1,around years carry highest quality antiglare screen protector find date
Just what I wanted.,1,want
This particular model would not work with my Motorola Q smartphone.,0,particular model would work motorola q smartphone
wont work right or atleast for me.,0,wont work right atleast
in addition it feels &amp; looks as if the phone is all lightweight cheap plastic.,0,addition feel amp look phone lightweight cheap plastic
"But now that it is ""out of warranty"" the same problems reoccure.Bottom line... put your money somewhere else... Cingular will not support it.",0,warranty problems reoccurebottom line put money somewhere else cingular support
"I really wanted the Plantronics 510 to be the right one, but it has too many issues for me.The good",0,really want plantronics right one many issue methe good
Great product.,1,great product
Crisp and Clear.,1,crisp clear
AFter the first charge kept going dead after 12 minutes.,0,first charge keep go dead minutes
"VERY cheap plastic, creaks like an old wooden floor.",0,cheap plastic creak like old wooden floor
"I get absolutely horrible reception in my apartment, where with other phones I have not had this problem.",0,get absolutely horrible reception apartment phone problem
The reception has been generally good.,1,reception generally good
"Excellent sound, battery life and inconspicuous to boot!.",1,excellent sound battery life inconspicuous boot
Great bluetooth!.,1,great bluetooth
I highly recommend this case.,1,highly recommend case
WORTHWHILE.,1,worthwhile
This is a great deal.,1,great deal
"After my phone got to be about a year old, it's been slowly breaking despite much care on my part.",0,phone get year old slowly break despite much care part
I am sorry I made this purchase.,0,sorry make purchase
I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.,0,buy hop could make bluetooth headset fit better things make impossible wear
Treo and T-Mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount.,0,treo tmobile refuse replace force buy another phone without kind upgrade discount
It was horrible!.,0,horrible
I don't think it would hold it too securly on your belt.,0,dont think would hold securly belt
This allows the possibility of double booking for the same date and time after the first.,0,allow possibility double book date time first
They work about 2 weeks then break.,0,work weeks break
It is simple to use and I like it.,1,simple use like
"It's a great tool for entertainment, communication, and data management.Oh, be sure to use ActiveSync 4.2 for optimal data synchronization results!",1,great tool entertainment communication data managementoh sure use activesync optimal data synchronization result
I can't use this case because the smell is disgusting.,0,cant use case smell disgust
NOT WHAT I WANTED.,0,want
I own 2 of these cases and would order another.,1,case would order another
Great Phone.,1,great phone
I bought this battery with a coupon from Amazon and I'm very happy with my purchase.,1,buy battery coupon amazon im happy purchase
"The internet access was fine, it the rare instance that it worked.",0,internet access fine rare instance work
Perfect for the PS3.,1,perfect ps
"Five star Plus, plus.",1,five star plus plus
A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me.,1,good quality bargain buy buy cheapy big lot sound awful people end couldnt hear
$50 Down the drain.,0,drain
I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.,0,try talk real loud shout telephone get old still tell wasnt great
"Good , works fine.",1,good work fine
For the price this was a great deal.,1,price great deal
"Great price, too!",1,great price
"If there is a wind, it is completely useless.",0,wind completely useless
Yes it's shiny on front side - and I love it!,1,yes shiny front side love
Does Not Work.,0,work
"At first I thought I was grtting a good deal at $7.44, until I plugged it into my phone (V3c Razr).",0,first think grtting good deal plug phone vc razr
The reception through this headset is excellent.,1,reception headset excellent
2 thumbs up to this seller,1,thumb seller
"I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight.",1,verizon lg phone work well together good reception range exceed feet line sight
Improper description.... I had to return it.,0,improper description return
#1 It Works - #2 It is Comfortable.,1,work comfortable
Battery charge-life is quite long.,1,battery chargelife quite long
The Jabra EarGels fit my ears very well.,1,jabra eargels fit ears well
Battery has no life.,0,battery life
I checked everywhere and there is no feature for it which is really disappointing.,0,check everywhere feature really disappoint
Product is exactly as described.,1,product exactly describe
Gets a signal when other Verizon phones won't.,1,get signal verizon phone wont
Doesn't do the job.,0,doesnt job
I would recommend it.,1,would recommend
Plan on ordering from them again and again.,1,plan order
"That being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.",1,say phone camera nice many cool effect play video decent well
I have been very satisfied with this cell phone from day one.,1,satisfy cell phone day one
They keep getting better and better (this is my third one and I've had numerous Palms too).,1,keep get better better third one ive numerous palm
Awkward to use and unreliable.,0,awkward use unreliable
The shipping time was also very quick!,1,ship time also quick
Not as good as I had hoped.,0,good hop
Good case!.,1,good case
Doesn't Work.,0,doesnt work
Really good product.,1,really good product
Unfortunately it did not work.,0,unfortunately work
All three broke within two months of use.,0,three break within two months use
dont buy it.,0,dont buy
"My father has the V265, and the battery is dying.",0,father v battery die
"However, the ear pads come off easily and after only one week I lost one.",0,however ear pad come easily one week lose one
"The calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently.",0,call drop phone come screen go black worst stop ring intermittently
"Horrible, horrible protector.",0,horrible horrible protector
I don't like this Nokia either.,0,dont like nokia either
"Reaching for the bottom row is uncomfortable, and the send and end keys are not where I expect them to be.3.",0,reach bottom row uncomfortable send end key expect
I have bought this Nokia cell phone a few weeks ago and it was a nightmare.,0,buy nokia cell phone weeks ago nightmare
It would take too long to describe how bad my customer service experience has been with Amazon.,0,would take long describe bad customer service experience amazon
the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!,0,disappoint thing speakerphone
Terrible.. My car will not accept this cassette.,0,terrible car accept cassette
"Product is useless, since it does not have enough charging current to charge the 2 cellphones I was planning to use it with.",0,product useless since enough charge current charge cellphones plan use
It's not what it says it is.,0,say
Stay Away From the Q!.,0,stay away q
Used and dirty.,0,use dirty
Very unreliable service from T-mobile !,0,unreliable service tmobile
Not good enough for the price.,0,good enough price
I bought two of them and neither will charge.,0,buy two neither charge
It looks very nice.,1,look nice
